fi,score_ax,score_cpu,d_score,cx_ax,cx_cpu,d_cx,cy_ax,cy_cpu,d_cy,dist,psr_ax,psr_cpu,score_max_ax,score_max_cpu
0,1.0,1.0,0.0,367.0,367.0,0.0,189.0,189.0,0.0,0.0,0.0,0.0,1.0,1.0
1,0.4908033311367035,0.9965062141418457,-0.5057028830051422,367.5155029296875,366.2799072265625,1.235595703125,188.71194458007812,189.6926727294922,-0.9807281494140625,1.5775057669099326,2.916135997352294,10.839113700864454,0.5151176452636719,0.9965062141418457
2,0.4908033311367035,0.9940259456634521,-0.5032226145267487,367.228271484375,362.1675720214844,5.060699462890625,188.26756286621094,191.06494140625,-2.7973785400390625,5.782387547542324,2.916135997352294,11.146218484555552,0.5151176452636719,0.9966905117034912
3,0.4919981360435486,0.9951227307319641,-0.5031245946884155,367.3697204589844,357.2105712890625,10.159149169921875,187.8269805908203,191.54949951171875,-3.7225189208984375,10.819679245392221,2.920053071699754,9.889321203112916,0.5151323676109314,0.9988369345664978
4,0.4884164035320282,0.9926090836524963,-0.5041926801204681,367.47100830078125,352.9113464355469,14.559661865234375,186.7272491455078,193.29029846191406,-6.56304931640625,15.970515644760525,2.9261344050197975,12.054999428650868,0.5110019445419312,0.9959167838096619
5,0.4797314703464508,0.9987785220146179,-0.5190470516681671,367.6867980957031,349.9779357910156,17.7088623046875,186.01242065429688,194.51478576660156,-8.502365112304688,19.644185313453896,3.0157584683707834,10.518518217959691,0.5081191062927246,0.9987785220146179
6,0.48546916246414185,0.9904588460922241,-0.5049896836280823,367.9663391113281,348.285400390625,19.680938720703125,185.3186798095703,194.2166290283203,-8.89794921875,21.59890851935637,3.0334798756737227,12.370955434651036,0.5208240747451782,0.9912623167037964
7,0.4893534779548645,0.9974979758262634,-0.5081444978713989,368.05804443359375,348.12445068359375,19.93359375,184.32376098632812,194.97613525390625,-10.652374267578125,22.601354767504528,3.0423183140839067,10.159110375181173,0.5238391160964966,0.9974979758262634
8,0.48702335357666016,0.9966276288032532,-0.509604275226593,367.3980407714844,347.429443359375,19.968597412109375,183.79867553710938,195.74197387695312,-11.94329833984375,23.26772996751973,2.96182027156859,9.207463646188122,0.5138158798217773,0.9973345994949341
9,0.4781807065010071,0.9949201941490173,-0.5167394876480103,367.1799621582031,346.9095458984375,20.270416259765625,183.44911193847656,194.7042999267578,-11.25518798828125,23.185534973248323,3.090380028132866,9.647609572547879,0.5186495780944824,0.9969868063926697
