frame,score,psr,ess,cx,cy,w,h
0,1.0,0.0,500,367.0,189.0,38.0,84.0
1,0.996517,10.8369,415.7,366.281,189.691,34.504,79.314
2,0.994027,11.1476,500.0,362.165,191.051,31.433,75.292
3,0.995122,9.8906,257.0,357.221,191.521,29.306,73.02
4,0.992598,12.0585,500.0,352.92,193.311,27.7,72.247
5,0.998776,10.5192,368.1,349.975,194.539,26.23,70.379
6,0.990478,12.3667,500.0,348.336,194.275,25.817,70.07
7,0.997493,10.162,277.9,348.178,195.305,25.043,67.987
8,0.995102,9.3415,500.0,347.861,194.783,24.497,68.881
9,0.992969,10.5989,270.0,346.845,193.723,24.36,69.356
10,0.995072,10.6975,500.0,344.945,194.702,24.345,69.396
11,0.995015,12.2419,257.1,345.463,194.754,23.553,68.174
12,0.997077,11.5702,500.0,345.956,196.547,22.841,66.767
13,0.993878,12.134,270.3,348.125,196.072,22.699,66.967
14,0.995668,11.0125,500.0,349.75,196.253,22.842,68.606
15,0.996939,10.0546,295.7,352.205,196.601,22.581,70.035
16,0.992361,13.5867,500.0,351.78,194.802,22.855,69.659
17,0.99396,10.8964,302.5,352.211,195.209,22.856,72.165
18,0.989713,10.5357,500.0,350.721,194.341,22.978,70.468
19,0.985851,10.8738,274.7,350.203,192.548,22.848,70.574
20,0.990174,12.1213,500.0,350.79,192.552,22.752,70.184
21,0.988978,11.4832,280.6,350.879,193.238,23.464,70.221
22,0.991735,11.5829,500.0,350.698,192.568,24.116,71.093
23,0.970568,12.4294,254.2,350.341,191.569,24.839,71.747
24,0.994078,12.1079,500.0,348.633,192.601,25.267,72.376
25,0.995794,11.0502,287.1,345.961,190.74,25.749,71.758
26,0.996247,11.6023,500.0,342.66,189.147,25.724,71.425
27,0.997147,10.6066,282.3,339.233,188.32,25.864,70.809
28,0.996796,11.3919,500.0,337.267,188.071,25.553,70.795
29,0.992759,12.6723,258.1,334.358,186.498,25.874,71.011
30,0.993891,12.6728,500.0,333.773,189.139,26.039,71.586
31,0.984706,13.3825,261.8,333.286,188.261,26.022,71.3
32,0.991047,12.6616,500.0,332.068,189.3,25.657,72.13
33,0.985384,14.5755,264.8,331.28,188.928,25.599,73.772
34,0.988622,12.5284,500.0,329.063,188.027,25.502,72.912
35,0.984716,13.3319,272.0,328.024,186.579,25.698,72.157
36,0.981571,12.2515,500.0,327.15,187.45,25.638,71.802
37,0.972087,13.4518,268.4,326.626,187.701,25.511,72.065
38,0.984396,12.7204,500.0,326.941,185.713,25.678,71.548
39,0.990097,12.2722,500.0,330.457,185.594,26.162,70.891
40,0.989227,12.5153,500.0,334.212,186.62,25.9,71.268
41,0.970522,13.5402,259.6,335.727,188.884,25.205,74.719
