frame,score,psr,ess,cx,cy,w,h
0,1.0,0.0,500,367.0,189.0,38.0,84.0
1,0.996516,10.8367,415.8,366.281,189.691,34.504,79.312
2,0.99403,11.1474,500.0,362.184,191.058,31.432,75.29
3,0.995124,9.8898,256.1,357.211,191.549,29.305,73.019
4,0.992599,12.0592,500.0,352.92,193.311,27.699,72.247
5,0.998777,10.5188,368.1,349.975,194.539,26.23,70.381
6,0.990469,12.3685,500.0,348.322,194.262,25.816,70.072
7,0.997492,10.1623,277.6,348.15,195.257,25.043,67.99
8,0.9951,9.3419,500.0,347.671,194.809,24.497,68.886
9,0.992963,10.6009,259.8,346.763,193.711,24.361,69.364
10,0.99507,10.6987,500.0,344.836,194.84,24.346,69.404
11,0.995014,12.2422,258.5,345.135,195.426,23.554,68.181
12,0.997077,11.5709,500.0,345.785,197.855,22.842,66.775
13,0.99243,11.8041,264.1,347.975,196.206,22.971,67.21
14,0.996089,11.1218,500.0,350.574,198.149,23.34,67.836
15,0.994059,11.1175,272.7,352.349,198.897,23.187,69.086
16,0.981887,11.9957,500.0,352.414,196.514,22.87,67.689
17,0.977774,12.018,254.0,351.701,196.961,22.665,68.876
18,0.983614,11.5496,500.0,350.814,194.992,22.902,70.42
19,0.978354,11.3686,259.5,350.403,194.254,22.962,71.504
20,0.983458,12.7208,500.0,351.101,193.178,23.213,70.178
21,0.984708,11.3625,260.1,350.729,192.387,23.417,70.901
22,0.989388,11.2397,500.0,349.882,190.847,23.846,71.877
23,0.992138,11.9087,251.4,350.2,191.115,24.717,71.463
24,0.993544,12.1541,500.0,348.454,191.547,25.324,72.272
25,0.997583,10.6569,280.3,345.719,191.001,25.743,71.323
26,0.98963,12.2457,500.0,341.883,188.614,25.536,70.78
27,0.996418,11.5013,305.6,339.749,189.347,25.611,70.576
28,0.995059,12.1563,500.0,337.243,189.958,25.324,70.986
29,0.989805,12.7168,276.3,334.166,189.476,25.553,70.833
30,0.995102,11.9079,500.0,332.904,188.342,26.009,71.192
31,0.990829,12.6765,251.1,333.289,186.879,25.531,70.69
32,0.981654,13.4458,500.0,332.184,187.098,24.748,69.391
33,0.985913,14.2454,250.9,330.939,188.232,24.777,71.658
34,0.990165,12.2505,500.0,329.154,185.566,24.998,71.169
35,0.975962,13.4636,500.0,328.415,185.872,24.649,70.433
36,0.972553,13.8918,278.3,327.697,186.756,24.559,70.155
37,0.985466,13.3565,500.0,326.943,187.853,24.892,70.694
38,0.990543,12.4432,269.6,326.908,186.912,24.991,70.445
39,0.984831,13.6601,500.0,330.698,189.773,25.815,70.674
40,0.987667,12.5818,500.0,334.402,188.698,25.737,71.282
41,0.977982,13.7711,250.6,335.681,190.797,24.929,73.124
42,0.938457,15.6778,500.0,335.166,189.989,24.439,74.611
43,0.978423,13.705,271.2,335.313,188.212,24.39,73.914
44,0.992893,11.6912,500.0,333.818,188.818,25.447,73.166
45,0.984172,12.3321,500.0,329.445,187.567,26.111,72.311
46,0.985995,11.2,500.0,321.571,186.647,25.953,70.96
47,0.963616,13.2017,500.0,310.203,184.691,26.362,71.599
48,0.991333,13.1547,500.0,301.611,183.505,26.156,70.259
49,0.99099,12.1012,279.3,295.572,183.507,26.145,70.077
50,0.992506,12.1338,500.0,289.733,182.205,26.111,68.896
51,0.983226,13.3735,268.1,283.518,181.669,26.3,69.059
52,0.967577,12.3896,500.0,276.286,181.893,25.949,68.433
53,0.995501,12.7209,277.1,272.429,181.647,25.621,69.64
54,0.986218,14.2466,500.0,270.269,181.736,25.367,71.635
55,0.984502,15.0085,500.0,268.786,181.885,25.707,71.413
56,0.973724,15.002,500.0,267.851,180.858,25.058,70.618
57,0.97725,14.0325,500.0,267.424,180.695,24.818,71.212
58,0.984121,15.1635,500.0,269.337,180.949,25.18,72.547
59,0.993757,13.2975,286.0,271.267,181.213,25.564,73.086
60,0.989904,13.9606,500.0,272.474,181.484,25.464,71.964
61,0.99279,13.5352,264.6,274.656,181.787,25.817,72.34
62,0.982155,14.6215,500.0,277.214,181.978,26.83,74.045
63,0.971587,14.9289,500.0,282.245,181.863,27.418,74.086
64,0.979052,13.4617,282.0,286.499,182.336,27.769,77.253
65,0.979747,15.6966,500.0,289.82,182.35,26.596,76.402
66,0.944793,15.9945,500.0,290.255,182.041,25.773,77.352
67,0.920589,17.0195,500.0,290.971,181.479,25.766,77.181
68,0.93761,17.7382,500.0,294.175,181.229,26.062,78.212
69,0.926272,17.4414,500.0,298.19,180.686,26.684,79.972
70,0.986086,13.2933,291.4,302.58,181.002,27.206,80.501
71,0.929464,18.0256,500.0,304.393,178.558,26.765,84.249
72,0.884278,16.9966,500.0,306.095,180.131,26.249,83.855
73,0.917365,17.7693,500.0,305.389,180.87,26.339,82.949
74,0.912555,15.4762,268.3,305.751,180.349,26.528,82.088
75,0.863319,19.2684,500.0,307.318,180.35,26.801,82.575
76,0.882994,20.0357,500.0,309.188,178.689,26.595,83.695
77,0.849651,17.8135,265.7,308.9,179.043,26.93,84.257
78,0.924026,16.3942,500.0,309.245,178.035,26.541,83.417
79,0.890877,17.1018,500.0,310.666,178.362,26.519,81.966
